"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_pred[73]",1.71469544651721,0.00368159441147719,0.364377671791216,1.00905083589693,1.46659237111461,1.7117828545203,1.95590621166061,2.43500566175826,9795.61322699573,0.999773910386148
"theta_pred[74]",1.7111452987412,0.00373383637181581,0.36874281216722,0.996152337095397,1.45956826340344,1.7086116221952,1.95488210312362,2.43907903128329,9752.96269569502,0.999772204792864
"theta_pred[75]",1.70759515096518,0.00378647437907352,0.373132698295476,0.983481049813569,1.45255114967634,1.70465255747564,1.9541218873911,2.44363916772059,9710.83494204483,0.999770636467337
"theta_pred[76]",1.70404500318917,0.00383949214337832,0.377546466990233,0.969920680800723,1.446113861228,1.70149970585356,1.95355997156184,2.44830432445383,9669.26036477474,0.999769197867115
"theta_pred[77]",1.70049485541316,0.00389287414788162,0.381983290372266,0.95812750051899,1.43922686853093,1.69758159442699,1.95289524851304,2.45262331600636,9628.26430011903,0.999767881827301
"theta_pred[78]",1.69694470763715,0.00394660561148101,0.38644237435575,0.94671236488133,1.43239022455876,1.69393687639436,1.95154159265848,2.45654467651247,9587.8675412782,0.999766681545802
"theta_pred[79]",1.69339455986113,0.00400067245293594,0.390922957191142,0.932574307129941,1.42636989216912,1.69043774766316,1.95094650860707,2.46207574622655,9548.08681433767,0.999765590568502
"theta_pred[80]",1.68984441208512,0.00405506125640656,0.395424308063752,0.92169439558366,1.41973109780041,1.68669701710264,1.95064263114985,2.46835492127027,9508.93521315288,0.99976460277448
"theta_pred[81]",1.68629426430911,0.00410975923842742,0.399945725747379,0.910348455490591,1.41352723723968,1.68270563268894,1.94963516447235,2.47453148158182,9470.42259579185,0.999763712361378
"theta_pred[82]",1.68274411653309,0.00416475421631416,0.404486537312145,0.89596982608314,1.40628094440437,1.67962661560952,1.94967365712539,2.48056503750032,9432.55594514108,0.999762913830998
"theta_pred[83]",1.67919396875708,0.00422003457798901,0.409046096885439,0.884585112679822,1.39951482545732,1.67596331382813,1.95021709335912,2.48789274105773,9395.33969624994,0.999762201975203
"theta_pred[84]",1.67564382098107,0.00427558925320147,0.413623784464731,0.871112268780534,1.3926213027229,1.67316658871997,1.94926227887191,2.49436846410324,9358.77603292131,0.999761571862168
"theta_pred[85]",1.67209367320505,0.00433140768611336,0.418219004780882,0.857892541102949,1.38534662999417,1.67018029523355,1.94807872312325,2.49941107801414,9322.86515596184,0.99976101882303
"theta_pred[86]",1.66854352542904,0.00438747980921131,0.422831186210488,0.845893771694532,1.37972031804538,1.66652470866558,1.94839161221574,2.50597359653536,9287.60552539356,0.999760538438961
"theta_pred[87]",1.66499337765303,0.00444379601850556,0.427459779735703,0.834175738937321,1.37393319606943,1.66352370199594,1.94821458741939,2.51103887470018,9252.99407880449,0.999760126528699
"theta_pred[88]",1.66144322987702,0.00450034714997078,0.43210425794997,0.822415520376281,1.3663454524517,1.66061682371636,1.94766958883341,2.51763784722462,9219.02642788569,0.999759779136528
"theta_pred[89]",1.657893082101,0.00455712445718239,0.436764114108021,0.810629306461527,1.36005447471668,1.65769319357122,1.94834893893754,2.52298502524037,9185.69703506782,0.999759492520747
"theta_pred[90]",1.65434293432499,0.00461411959010035,0.441438861218522,0.797629159974666,1.35300462296778,1.65409775223553,1.94780640322984,2.52814621120344,9152.99937203854,0.999759263142607
"theta_pred[91]",1.65079278654898,0.00467132457495232,0.446128031177731,0.785396986681796,1.34682331302405,1.65041039237612,1.94788768261942,2.53302266457557,9120.92606178966,0.999759087655722
"theta_pred[92]",1.64724263877296,0.00472873179516721,0.450831173942533,0.773512326666985,1.34036376276773,1.64732734693105,1.94716691367595,2.53848412808637,9089.46900571755,0.999758962895958
"theta_pred[93]",1.64369249099695,0.00478633397331111,0.455547856741262,0.761544970097064,1.33400393937911,1.64359682068366,1.94726595445181,2.54525724443592,9058.61949717873,0.999758885871777
"theta_pred[94]",1.64014234322094,0.00484412415397813,0.460277663320721,0.750001790336635,1.32679096168263,1.6397868525997,1.94656552268029,2.54949212929903,9028.36832278708,0.999758853755047
"theta_pred[95]",1.63659219544492,0.00490209568758945,0.465020193227865,0.73846430616985,1.31979232041144,1.63606141702374,1.94525947757314,2.55345699569146,8998.70585263125,0.999758863872279
"theta_pred[96]",1.63304204766891,0.00496024221505572,0.469775061124629,0.725707800716417,1.31281099063609,1.6328338840765,1.94403364072805,2.56019669278917,8969.62212048821,0.999758913696309
"theta_pred[97]",1.6294918998929,0.00501855765325852,0.47454189613446,0.71259751340542,1.30601300637435,1.62879773400356,1.9436299204171,2.56565453086707,8941.10689501511,0.999759000838387
"theta_pred[98]",1.62594175211689,0.00507703618130892,0.479320341219106,0.700084472310452,1.29955983193216,1.62510184688839,1.94260759070245,2.57143887603091,8913.14974281306,0.999759123040666
"theta_pred[99]",1.62239160434087,0.00513567222754218,0.484110052584308,0.686488278591335,1.29172279443354,1.62130591152745,1.94248581881714,2.57793725042435,8885.74008417497,0.999759278169085
"theta_pred[100]",1.61884145656486,0.00519446045720974,0.488910699113074,0.676123327578598,1.28523927377287,1.61767165160717,1.94228875484776,2.58414441834114,8858.8672422553,0.999759464206614
"theta_pred[101]",1.61529130878885,0.00525339576083083,0.493721961825236,0.663134573008406,1.27822483160054,1.61456633265297,1.94237711642204,2.58952034217043,8832.52048633002,0.999759679246857
"theta_pred[102]",1.61174116101283,0.00531247324316835,0.498543533362088,0.648885696489148,1.27152123975922,1.60983416593104,1.94168600318133,2.59620437024912,8806.6890697524,0.999759921487996
